titre,artistes,url,streams_avant,streams_apres,ecart
7 Décembre,Maks,https://open.spotify.com/track/6hfa0bM5mX2MG7VGlnLG3n?si=LpN7-hHPTciJB3md-9ferA,151166,151426,260
Dexter,Layso,https://open.spotify.com/track/2VACcRRu0tyYg5KZmY7iJJ?si=7KhC6JhoR06KRQmuEl3lOQ,0,0,0
Alpraz à l'âme,_vaayz,https://open.spotify.com/track/51c6uBRTEoBpsKOB91NXxp?si=hXgi6q51S2W2mwtP-OsJEw,1620,1623,3
BEJT TAM SÁM,P-ONE,https://open.spotify.com/track/5d88wEoYVw7iLOQqtTlddG?si=3dlplfsTRIunvyfSty6Imw,84972,86016,1044
Wa7la,"Gafsi, Kybruz238",https://open.spotify.com/track/6i906m6HzTmmzMbfM8KxGX?si=UOSY7SNTTQ2ky9HV3rNqeA,0,0,0
Ma mélodie,AMG3_71,https://open.spotify.com/track/0PHCVE2Jxd1iAZw4phNNKa?si=adQSmlvmRNKU0UW4JMPrYQ,0,0,0
Jah Make Move,Yaawdi,https://open.spotify.com/track/78lOqLRd9VGyll11aMzCsD?si=Tyq7Wvg2TTegJHgvSPBgwQ,5572,5584,12
NOS RUELLES #3,2R,https://open.spotify.com/track/40AOrVgGEE983NJqa26ZNL?si=sd9v9J4gQeaucjKiR86YwQ,156535,159898,3363
Dysphibolia,Mahery,https://open.spotify.com/track/5o8mhEffmgHYm0TCU4pH8a?si=FMMrrfocTNyWw74VPS3JlA,0,0,0
La muzica (EM Edit),Dawez,https://open.spotify.com/track/5VGqqMY1Ezfw0m2XlPMkHo?si=9bAqp6_rT8WX7YSn6naQ6A,0,0,0
Final,jokzgui,https://open.spotify.com/track/5elU3gTQ1u55FG2YaPyT9R?si=9CFTpIdVTgueL75BtEKHsw,189510,193205,3695
Bonheur,BoyBoy,https://open.spotify.com/track/5K868yU8otirr0bZFH3fzu?si=2qyAIqtBSKyHLRQdY2PExQ,0,0,0
Lettre à...,Caliko,https://open.spotify.com/track/2rjB8dT78x7DY7z8c3VpWE?si=fr4sM3uhS56dX5sM8ROdMw,0,0,0
Schwarzenegger,ALS,https://open.spotify.com/track/7hicBzyDmeGRgJfMENB9lO?si=fqCTWfkSRaWsYZsySS_CJg,0,0,0
Monde,"Ba2, Skarr",https://open.spotify.com/track/5oKGKhbHZxQxgyDCONDq01?si=jaLuQMAAT2aUwCHCPGoakg,2092,2092,0
Heetch (16H21),SK 2.16,https://open.spotify.com/track/1ZQV8XNdOE4IWYhsJ0gDrS?si=3KofnElETpytpeF4CpYkiw,0,0,0
Birkin hermes,AD,https://open.spotify.com/track/1ZlosEjD4ebNbPOrmWFcC5?si=tfkjMo-BSkK3l4YVpmU51A,0,0,0
Vivre ou Survivre,Delilio,https://open.spotify.com/track/71mluVF30tYenvys8Fruwq?si=JOi97N_YQ_yArk0NsTrW3g,98342,98385,43
Lies Of Pinocchio,BMOI,https://open.spotify.com/track/4aMYUakXR6RxQtpaBoiaQT?si=MsSHhXIsROWatoxF6Kt53g,0,0,0
Temu,Chawo,https://open.spotify.com/track/1Lz4XWdQyQfOcnQLBxHsSa?si=gDIQdtLdT72QOq4u-Zis4g,115979,116819,840
Donner,MBGST,https://open.spotify.com/track/5JfAQCqJoaAcZ2Nj9VwlHY?si=vuH6_xAKTTO88ty7T-xlmw,18816,19316,500
Signe de vie,Jord Issaguen,https://open.spotify.com/track/6HOKktyU4fd7rVzyjhgvLZ?si=CHQpVvPhSn6TiSuK1p_ZCg,0,0,0
Comme jamais,"Barkozor, W",https://open.spotify.com/track/6SR9tLJRf6Y25N2lRNUdfI?si=my_NXon5RmeCvFhi8ln0fg,0,0,0
GTA LOVE,YAM,https://open.spotify.com/track/6pZEl2CK4m3vWYPEjnXSRR?si=o3OgJhbqS9mW-FNdSRsrRA,4602,4758,156
HAYAT حياة,MATAHA,https://open.spotify.com/track/3FHi4pCWPr9BEpc9zgcUhl?si=XpW8M8SKQUmIlzRgUqNlhA,12949,12949,0
"Récit Profond, Pt. 3 - Freestyle",Ciscozé,https://open.spotify.com/track/2RBHleiblWR0pSCFpxBaZc?si=mtuWJAEJTQqnvi2qe3o4DA,0,0,0
Même effet,VLD,https://open.spotify.com/track/13KuR7TBVysS60hovrJFPH?si=Hj0g_jBOTwGX0RVKG-UpnA,17917,17917,0
J'aurais voulu,Pazzo,https://open.spotify.com/track/74jLF45fmPCUAGDN2TPFud?si=UKFV-S_OTm6oI4ft0Hl0rQ,12741,12786,45
SOUS-ESTIMER,SUZANNE,https://open.spotify.com/track/3aYfrV5rIC3ZpCugPMwxA3?si=FfcLw6e8Q9KiQMzwwFw98A,0,0,0
Ephemere,"Enah km, Nytho",https://open.spotify.com/track/37Jfrz1rZeNN8cmSwTVP6J?si=yutz_b41T8OI9Jy-koEDaQ,2145,2145,0
Yahweh,Jéthro JNM,https://open.spotify.com/track/1JpnWKXLYYEPit31b02ors?si=5NWGFYJxQF608cnc1NMe-A,7293,7305,12
TIKI TAKA À LA GUARDIOLA,DYDY,https://open.spotify.com/track/2eSab2JEBI15UVlWXjG1eI?si=jRll_GQ3SnGdIDuDSYjaYA,0,0,0
Jouons ensemble,Roxane,https://open.spotify.com/track/3jNAP2P2b5HvGbMUwsuR2v?si=jdG3edoVTWOwIm7DJKMQUg,16169,16195,26
Piano désaccordé,Hill le conteur,https://open.spotify.com/track/7KITahDtiFnof6DutCuL2B?si=SUodOnlQQKOtyF7fzNrnjw,0,0,0
CSLM,Leamsi,https://open.spotify.com/track/0H79sCI2ZupBNUB9FxqBeX?si=3JFxWilTQOSI4ROpx1nD7w,0,0,0
